333.29999999999995Hz wait=[3.00030003e-04 1.00000000e-03 3.00030003e-03 1.00000000e-02
 3.00030003e-02 1.00000000e-01 3.00030003e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.585807e-05,9.773309e-06,-5.169628e+00,-5.672572e-06,1.004971e-05,3.333000e+02,0,1,3,2
1.911184e-04,4.460507e-06,7.199040e-01,2.291804e-06,8.553040e-06,3.333000e+02,7,8,10,9
