800.0Hz wait=[6.00060006e-04 2.00000000e-03 1.00000000e-03 6.00060006e-03
 4.00000000e-03 2.50000000e-03 2.00000000e-02 1.00000000e-02
 6.00060006e-02 4.00000000e-02 2.50000000e-02 2.00000000e-01
 1.00000000e-01 6.00060006e-01 4.00000000e-01 2.50000000e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.898404e-05,7.081689e-07,-2.857115e+00,-1.458091e-06,1.390482e-06,8.000000e+02,0,1,3,2
1.891935e-04,7.584941e-07,-3.896452e-01,-1.284648e-06,1.278150e-06,8.000000e+02,7,8,10,9
