800.0Hz wait=[6.00060006e-04 2.00000000e-03 1.00000000e-03 6.00060006e-03
 4.00000000e-03 2.50000000e-03 2.00000000e-02 1.00000000e-02
 6.00060006e-02 4.00000000e-02 2.50000000e-02 2.00000000e-01
 1.00000000e-01 6.00060006e-01 4.00000000e-01 2.50000000e-01]periods tc=9[x,x_std, theta, theta_std, y, y_std,fint,sin+,sin-,v+,v-]
3.034842e-05,1.266663e-06,-2.470404e+00,1.400945e+00,-1.321729e-06,7.622808e-07,8.000000e+02,0,1,3,2
1.880171e-04,1.974952e-06,-5.851655e-01,4.339898e-01,-1.922914e-06,1.427314e-06,8.000000e+02,7,8,10,9
