30.0Hz wait=[1.e-04 3.e-04 1.e-03 3.e-03 1.e-02 3.e-02 1.e-01 3.e-01 1.e+00]periods tc=10[x,theta, y,fint,sin+,sin-,v+,v-]
2.994376e-05,-1.030468e+01,-4.332987e-06,3.000000e+01,0,1,3,2
1.901478e-04,5.398066e-01,1.747693e-06,3.000000e+01,7,8,10,9
