333.29999999999995Hz wait=[6.00060006e-04 2.00000000e-03 6.00060006e-03 2.00000000e-02
 6.00060006e-02 2.00000000e-01 6.00060006e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
3.031215e-05,5.619190e-06,1.439447e+00,-1.542829e-07,6.949622e-06,3.333000e+02,0,1,3,2
1.873290e-04,2.015334e-06,-3.863233e-01,-1.254460e-06,2.707130e-06,3.333000e+02,7,8,10,9
