30.0Hz wait=[1.66666667e-04 5.00000000e-04 1.66666667e-03 5.00000000e-03
 1.66666667e-02 5.00000000e-02 1.66666667e-01 5.00000000e-01
 1.66666667e+00]periods tc=10[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.823628e-05,4.266440e-06,8.727520e+00,3.782086e-06,7.366747e-06,3.000000e+01,0,1,3,2
1.844948e-04,1.596359e-06,2.491480e-02,6.941943e-08,2.235179e-06,3.000000e+01,7,8,10,9
