30.0Hz wait=[1.e-04 3.e-04 1.e-03 3.e-03 1.e-02 3.e-02 1.e-01 3.e-01 1.e+00]periods tc=10[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
3.164180e-05,8.555593e-06,-4.313586e+00,-2.066440e-06,1.367405e-06,3.000000e+01,0,1,3,2
1.800856e-04,6.439071e-06,2.042912e+00,6.185127e-06,8.618773e-06,3.000000e+01,7,8,10,9
