666.5999999999999Hz wait=[6.00060006e-04 2.00000000e-03 1.00000000e-03 6.00060006e-03
 3.00030003e-03 2.00000000e-02 1.00000000e-02 6.00060006e-02
 3.00030003e-02 2.00000000e-01 1.00000000e-01 6.00060006e-01
 3.00030003e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.841802e-05,2.013660e-06,-3.680905e+00,-1.795369e-06,1.687812e-06,6.666000e+02,0,1,3,2
1.886517e-04,1.108318e-06,-1.182453e-01,-3.876430e-07,1.003282e-06,6.666000e+02,7,8,10,9
