1000Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
9.783085e-04,-7.886136e-02,-1.346535e-06,1.000000e+03,0,1,0,1
9.768135e-04,-1.445029e-01,-2.463604e-06,1.000000e+03,1,2,1,2
9.785440e-04,-1.675770e-01,-2.862030e-06,1.000000e+03,2,3,2,3
9.779050e-04,-3.861959e-01,-6.591566e-06,1.000000e+03,3,4,3,4
9.758915e-04,-2.823788e-01,-4.809677e-06,1.000000e+03,4,5,4,5
9.774411e-04,-1.462309e-01,-2.494650e-06,1.000000e+03,5,6,5,6
9.766826e-04,-2.978799e-01,-5.077821e-06,1.000000e+03,6,7,6,7
9.771221e-04,-2.924601e-01,-4.987653e-06,1.000000e+03,7,8,7,8
9.785040e-04,-2.573205e-01,-4.394574e-06,1.000000e+03,8,9,8,9
9.780662e-04,-3.126143e-01,-5.336550e-06,1.000000e+03,9,10,9,10
9.760714e-04,-3.206074e-01,-5.461813e-06,1.000000e+03,10,11,10,11
9.782801e-04,-2.661468e-01,-4.544278e-06,1.000000e+03,11,12,11,12
9.788070e-04,-1.004806e-01,-1.716554e-06,1.000000e+03,12,13,12,13
9.781737e-04,-8.634896e-02,-1.474180e-06,1.000000e+03,13,14,13,14
9.820348e-04,2.718757e-02,4.659825e-07,1.000000e+03,14,15,14,15
9.795022e-04,-5.783804e-02,-9.887748e-07,1.000000e+03,15,16,15,16
9.868642e-04,-1.452833e-01,-2.502383e-06,1.000000e+03,16,17,16,17
9.810237e-04,-2.276843e-02,-3.898182e-07,1.000000e+03,17,18,17,18
9.789616e-04,-1.629205e-01,-2.783699e-06,1.000000e+03,18,19,18,19
9.832098e-04,-2.476968e-02,-4.250280e-07,1.000000e+03,19,20,19,20
9.769297e-04,-1.007589e-01,-1.718007e-06,1.000000e+03,20,21,20,21
9.793531e-04,-1.842324e-01,-3.149094e-06,1.000000e+03,21,22,21,22
9.795267e-04,-1.278458e-01,-2.185655e-06,1.000000e+03,22,23,22,23
9.781383e-04,-2.384078e-02,-4.069778e-07,1.000000e+03,23,24,23,24
9.808264e-04,-1.627737e-01,-2.786493e-06,1.000000e+03,24,25,24,25
9.807264e-04,-7.411779e-02,-1.268679e-06,1.000000e+03,25,26,25,26
9.781797e-04,-1.328677e-01,-2.268387e-06,1.000000e+03,26,27,26,27
9.786900e-04,-1.147421e-01,-1.959970e-06,1.000000e+03,27,28,27,28
9.784529e-04,-8.239599e-02,-1.407094e-06,1.000000e+03,28,29,28,29
9.790231e-04,-6.404668e-02,-1.094395e-06,1.000000e+03,29,30,29,30
9.790752e-04,-8.275115e-02,-1.414082e-06,1.000000e+03,30,31,30,31
9.733643e-04,-4.238644e-02,-7.201004e-07,1.000000e+03,31,0,31,0
