333.29999999999995Hz wait=[3.00030003e-04 1.00000000e-03 3.00030003e-03 1.00000000e-02
 3.00030003e-02 1.00000000e-01 3.00030003e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.866601e-05,1.036486e-05,2.747037e+00,1.636654e-06,4.415501e-06,3.333000e+02,0,1,3,2
1.864385e-04,2.779283e-06,9.967100e-01,3.206946e-06,5.799973e-06,3.333000e+02,7,8,10,9
