30.0Hz wait=[1.e-04 3.e-04 1.e-03 3.e-03 1.e-02 3.e-02 1.e-01 3.e-01 1.e+00]periods tc=10[x,theta, y,fint,sin+,sin-,v+,v-]
3.069442e-05,-9.298233e+00,3.446317e-06,3.000000e+01,0,1,3,2
1.878058e-04,1.421891e+00,7.743041e-06,3.000000e+01,7,8,10,9
