1000Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
9.767098e-04,-1.493267e-01,-2.545553e-06,1.000000e+03,0,1,0,1
9.766847e-04,-1.830405e-01,-3.120198e-06,1.000000e+03,1,2,1,2
9.790921e-04,-1.580250e-01,-2.700416e-06,1.000000e+03,2,3,2,3
9.776793e-04,-3.882057e-01,-6.624340e-06,1.000000e+03,3,4,3,4
9.751573e-04,-2.391898e-01,-4.070969e-06,1.000000e+03,4,5,4,5
9.743889e-04,-1.156778e-01,-1.967274e-06,1.000000e+03,5,6,5,6
9.765099e-04,-3.673891e-01,-6.261627e-06,1.000000e+03,6,7,6,7
9.774201e-04,-2.968246e-01,-5.063638e-06,1.000000e+03,7,8,7,8
9.765796e-04,-1.989788e-01,-3.391527e-06,1.000000e+03,8,9,8,9
9.778922e-04,-3.035490e-01,-5.180871e-06,1.000000e+03,9,10,9,10
9.775560e-04,-2.322384e-01,-3.962373e-06,1.000000e+03,10,11,10,11
9.782851e-04,-2.636026e-01,-4.500854e-06,1.000000e+03,11,12,11,12
9.790077e-04,-1.120407e-01,-1.914449e-06,1.000000e+03,12,13,12,13
9.777223e-04,-7.374555e-02,-1.258439e-06,1.000000e+03,13,14,13,14
9.805437e-04,-1.149196e-01,-1.966720e-06,1.000000e+03,14,15,14,15
9.805459e-04,-1.407395e-01,-2.408604e-06,1.000000e+03,15,16,15,16
9.847225e-04,-4.172187e-01,-7.170734e-06,1.000000e+03,16,17,16,17
9.858444e-04,5.805661e-03,9.986687e-08,1.000000e+03,17,18,17,18
9.775775e-04,-1.544425e-01,-2.635105e-06,1.000000e+03,18,19,18,19
9.766753e-04,-1.311345e-01,-2.235350e-06,1.000000e+03,19,20,19,20
9.780107e-04,-1.880351e-01,-3.209695e-06,1.000000e+03,20,21,20,21
9.799295e-04,-9.622028e-02,-1.645679e-06,1.000000e+03,21,22,21,22
9.766768e-04,-8.939522e-02,-1.523875e-06,1.000000e+03,22,23,22,23
9.790063e-04,-2.002441e-02,-3.421356e-07,1.000000e+03,23,24,23,24
9.797177e-04,-1.700034e-01,-2.906971e-06,1.000000e+03,24,25,24,25
9.810784e-04,-1.666856e-01,-2.854184e-06,1.000000e+03,25,26,25,26
9.775007e-04,-7.381556e-02,-1.259345e-06,1.000000e+03,26,27,26,27
9.787844e-04,-1.396398e-01,-2.385476e-06,1.000000e+03,27,28,27,28
9.800537e-04,-1.090610e-01,-1.865526e-06,1.000000e+03,28,29,28,29
9.794558e-04,-1.453259e-01,-2.484313e-06,1.000000e+03,29,30,29,30
9.791803e-04,-1.359037e-01,-2.322598e-06,1.000000e+03,30,31,30,31
9.773170e-04,-1.577722e-01,-2.691203e-06,1.000000e+03,31,0,31,0
