1000Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
9.776733e-04,-1.617218e-01,-2.759565e-06,1.000000e+03,0,1,0,1
9.770480e-04,-1.749911e-01,-2.984103e-06,1.000000e+03,1,2,1,2
9.784608e-04,-1.891723e-01,-3.230594e-06,1.000000e+03,2,3,2,3
9.780220e-04,-3.362724e-01,-5.740138e-06,1.000000e+03,3,4,3,4
9.760096e-04,-2.864189e-01,-4.879077e-06,1.000000e+03,4,5,4,5
9.780745e-04,-1.580881e-01,-2.698674e-06,1.000000e+03,5,6,5,6
9.724707e-04,-2.167407e-01,-3.678729e-06,1.000000e+03,6,7,6,7
9.761268e-04,-3.581785e-01,-6.102225e-06,1.000000e+03,7,8,7,8
9.768121e-04,-1.677580e-01,-2.860067e-06,1.000000e+03,8,9,8,9
9.773178e-04,-3.293773e-01,-5.618387e-06,1.000000e+03,9,10,9,10
9.764349e-04,-3.488809e-01,-5.945700e-06,1.000000e+03,10,11,10,11
9.785299e-04,-2.722906e-01,-4.650367e-06,1.000000e+03,11,12,11,12
9.792760e-04,-4.353391e-02,-7.440733e-07,1.000000e+03,12,13,12,13
9.783354e-04,-1.272567e-01,-2.172943e-06,1.000000e+03,13,14,13,14
9.805295e-04,-1.694194e-01,-2.899375e-06,1.000000e+03,14,15,14,15
9.799543e-04,-9.861255e-02,-1.686611e-06,1.000000e+03,15,16,15,16
9.836252e-04,-3.114549e-01,-5.346952e-06,1.000000e+03,16,17,16,17
9.807433e-04,1.024255e-01,1.753259e-06,1.000000e+03,17,18,17,18
9.762204e-04,-2.560262e-01,-4.362286e-06,1.000000e+03,18,19,18,19
9.774911e-04,-1.340168e-01,-2.286404e-06,1.000000e+03,19,20,19,20
9.787834e-04,-1.071230e-01,-1.829990e-06,1.000000e+03,20,21,20,21
9.794584e-04,-1.072220e-01,-1.832940e-06,1.000000e+03,21,22,21,22
9.780640e-04,-1.536246e-01,-2.622447e-06,1.000000e+03,22,23,22,23
9.797312e-04,-1.780272e-01,-3.044215e-06,1.000000e+03,23,24,23,24
9.812828e-04,-8.411207e-02,-1.440554e-06,1.000000e+03,24,25,24,25
9.806885e-04,-8.237891e-02,-1.410033e-06,1.000000e+03,25,26,25,26
9.775542e-04,-1.677665e-01,-2.862387e-06,1.000000e+03,26,27,26,27
9.789430e-04,-1.985451e-01,-3.392330e-06,1.000000e+03,27,28,27,28
9.783265e-04,-8.880270e-02,-1.516308e-06,1.000000e+03,28,29,28,29
9.793048e-04,-1.605180e-01,-2.743599e-06,1.000000e+03,29,30,29,30
9.791637e-04,-8.596475e-02,-1.469116e-06,1.000000e+03,30,31,30,31
9.742774e-04,-2.427313e-01,-4.127513e-06,1.000000e+03,31,0,31,0
