99.99Hz wait=[0.00030003 0.00090009 0.0030003  0.0090009  0.030003   0.090009
 0.30003   ]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.308333e-05,8.395077e-06,-1.417233e+01,-3.326712e-06,1.614762e-05,9.999000e+01,0,1,3,2
1.811632e-04,1.070598e-05,-1.825983e+00,-6.363364e-06,1.201030e-05,9.999000e+01,7,8,10,9
