80.0Hz wait=[4.80048005e-04 1.60000000e-03 8.00000000e-04 4.80048005e-03
 3.20000000e-03 2.00000000e-03 1.60000000e-02 8.00000000e-03
 4.80048005e-02 3.20000000e-02 2.00000000e-02 1.60000000e-01
 8.00000000e-02 4.80048005e-01 3.20000000e-01 2.00000000e-01
 1.60000000e+00 8.00000000e-01 4.80048005e+00 3.20000000e+00
 2.00000000e+00]periods tc=10[x,x_std, theta, theta_std, y, y_std,fint,sin+,sin-,v+,v-]
2.689321e-05,5.255268e-06,-2.197913e+00,1.461848e+01,-8.637107e-09,7.082228e-06,8.000000e+01,0,1,3,2
1.884102e-04,1.386057e-06,1.956816e-02,4.302852e-01,6.460282e-08,1.418867e-06,8.000000e+01,7,8,10,9
