80.0Hz wait=[4.80048005e-04 1.60000000e-03 8.00000000e-04 4.80048005e-03
 3.20000000e-03 2.00000000e-03 1.60000000e-02 8.00000000e-03
 4.80048005e-02 3.20000000e-02 2.00000000e-02 1.60000000e-01
 8.00000000e-02 4.80048005e-01 3.20000000e-01 2.00000000e-01
 1.60000000e+00 8.00000000e-01 4.80048005e+00 3.20000000e+00
 2.00000000e+00]periods tc=10[x,x_std, theta, theta_std, y, y_std,fint,sin+,sin-,v+,v-]
3.023995e-05,4.545230e-06,6.360853e+00,1.075416e+01,3.496274e-06,5.619561e-06,8.000000e+01,0,1,3,2
1.899114e-04,1.027154e-06,2.555481e-02,2.648436e-01,8.757329e-08,8.744424e-07,8.000000e+01,7,8,10,9
