30.0Hz wait=[1.e-04 3.e-04 1.e-03 3.e-03 1.e-02 3.e-02 1.e-01 3.e-01 1.e+00]periods tc=10[x,theta, y,fint,sin+,sin-,v+,v-]
2.520932e-05,-5.682506e+00,-2.555576e-06,3.000000e+01,0,1,3,2
1.865553e-04,-1.680397e-01,-6.206105e-07,3.000000e+01,7,8,10,9
