300.0Hz wait=[0.00033333 0.001      0.00333333 0.01       0.03333333 0.1
 0.33333333]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.994391e-05,2.971635e-06,-2.833947e+00,-1.557692e-06,6.874187e-06,3.000000e+02,0,1,3,2
1.883017e-04,1.800741e-06,-4.104482e-01,-1.366983e-06,2.211504e-06,3.000000e+02,7,8,10,9
