80.0Hz wait=[4.80048005e-04 1.60000000e-03 8.00000000e-04 4.80048005e-03
 3.20000000e-03 2.00000000e-03 1.60000000e-02 8.00000000e-03
 4.80048005e-02 3.20000000e-02 2.00000000e-02 1.60000000e-01
 8.00000000e-02 4.80048005e-01 3.20000000e-01 2.00000000e-01
 1.60000000e+00 8.00000000e-01 4.80048005e+00 3.20000000e+00
 2.00000000e+00]periods tc=10[x,x_std, theta, theta_std, y, y_std,fint,sin+,sin-,v+,v-]
4.612477e-04,4.364176e-06,4.498605e-01,8.333289e-01,3.629098e-06,6.692032e-06,8.000000e+01,0,3,1,2
3.831537e-04,1.903911e-06,1.480310e-01,3.167618e-01,9.874148e-07,2.119905e-06,8.000000e+01,16,19,17,18
