300.0Hz wait=[0.00033333 0.001      0.00333333 0.01       0.03333333 0.1
 0.33333333]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
3.100294e-05,8.563091e-06,-4.931686e+00,-1.010651e-06,7.260420e-06,3.000000e+02,0,1,3,2
1.889140e-04,5.325240e-06,-9.294924e-01,-3.098631e-06,3.933252e-06,3.000000e+02,7,8,10,9
