30.0Hz wait=[1.e-04 3.e-04 1.e-03 3.e-03 1.e-02 3.e-02 1.e-01 3.e-01 1.e+00]periods tc=10[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
3.146452e-05,2.977954e-06,-1.561766e+01,-9.764210e-06,8.127077e-06,3.000000e+01,0,1,3,2
1.890114e-04,5.105576e-06,-1.372260e+00,-4.445156e-06,3.038985e-06,3.000000e+01,7,8,10,9
