99.99Hz wait=[0.00030003 0.001      0.0030003  0.01       0.030003   0.1
 0.30003   ]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
3.535484e-05,2.468887e-05,2.096342e+01,5.352677e-07,2.015160e-05,9.999000e+01,0,1,3,2
1.844364e-04,2.009873e-05,-6.399396e-01,-3.519878e-06,1.355747e-05,9.999000e+01,7,8,10,9
