33.333Hz wait=[6.00006e-05 1.00000e-04 2.00000e-04 2.50000e-04 4.00000e-04 6.00006e-04
 1.00000e-03 2.00000e-03 2.50000e-03 4.00000e-03 6.00006e-03 1.00000e-02
 2.00000e-02 2.50000e-02 4.00000e-02 6.00006e-02 1.00000e-01 2.00000e-01
 2.50000e-01 4.00000e-01 6.00006e-01]periods tc=11[x,x_std, theta, theta_std, y, y_std,fint,sin+,sin-,v+,v-]
7.977982e-05,3.842145e-05,-1.698263e+01,1.660331e+01,-2.646476e-05,3.341788e-05,3.333300e+01,0,1,3,2
2.008093e-04,9.882347e-05,-8.403540e-01,2.559639e+01,-5.803588e-06,9.059621e-05,3.333300e+01,7,8,10,9
