30.0Hz wait=[1.e-04 3.e-04 1.e-03 3.e-03 1.e-02 3.e-02 1.e-01 3.e-01 1.e+00]periods tc=10[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
3.780689e-05,6.550219e-06,-6.970920e+00,-4.507274e-06,1.124177e-06,3.000000e+01,0,1,3,2
1.905032e-04,2.532204e-06,-1.116344e+00,-3.734051e-06,1.693111e-06,3.000000e+01,7,8,10,9
