1600.0Hz wait=[6.00060006e-04 2.00000000e-03 1.00000000e-03 6.00060006e-03
 4.00000000e-03 2.50000000e-03 2.00000000e-02 1.00000000e-02
 6.00060006e-02 4.00000000e-02 2.50000000e-02 2.00000000e-01
 1.00000000e-01 6.00060006e-01 4.00000000e-01 2.50000000e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.924521e-05,4.800457e-07,-1.272790e+00,-6.471588e-07,1.733314e-07,1.600000e+03,0,1,3,2
1.885396e-04,1.466064e-07,-1.029267e+00,-3.387387e-06,1.486621e-07,1.600000e+03,7,8,10,9
