300.0Hz wait=[1.00000000e-04 3.33333333e-04 1.00000000e-03 3.33333333e-03
 1.00000000e-02 3.33333333e-02 1.00000000e-01 3.33333333e-01]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.933863e-05,4.602392e-06,2.239022e+00,9.327423e-07,8.365392e-06,3.000000e+02,0,1,3,2
1.896804e-04,3.560871e-06,-2.102872e-01,-6.228272e-07,4.660811e-06,3.000000e+02,7,8,10,9
