800.0Hz wait=[6.00060006e-04 2.00000000e-03 1.00000000e-03 6.00060006e-03
 4.00000000e-03 2.50000000e-03 2.00000000e-02 1.00000000e-02
 6.00060006e-02 4.00000000e-02 2.50000000e-02 2.00000000e-01
 1.00000000e-01 6.00060006e-01 4.00000000e-01 2.50000000e-01]periods tc=9[x,x_std, theta, theta_std, y, y_std,fint,sin+,sin-,v+,v-]
2.806356e-05,8.618213e-07,-1.704559e+00,1.621676e+00,-8.164451e-07,7.736349e-07,8.000000e+02,0,1,3,2
1.875917e-04,1.307908e-06,-3.534920e-01,2.489949e-01,-1.157428e-06,8.100014e-07,8.000000e+02,7,8,10,9
