499.95Hz wait=[0.00090009 0.003      0.0090009  0.03       0.090009   0.3
 0.90009001]periods tc=9[x,x_std, theta, y, y_std,fint,sin+,sin-,v+,v-]
2.941919e-05,1.837085e-06,-4.757454e-01,-3.914060e-07,2.717552e-06,4.999500e+02,0,1,3,2
1.900043e-04,9.100689e-07,-3.255319e-01,-1.078955e-06,6.597502e-07,4.999500e+02,7,8,10,9
